date,day,week,topic,prepare,participate,practice
8/26/2019,Mon,1,What is statistical reasoning?,"[Get practice book: Salvatore and Reagle = SR and Diez et al. = OI]((https://www.amazon.com/Schaums-Outline-Statistics-Econometrics-Outlines/dp/0071755470) and [supplemental text](https://www.openintro.org/download.php?file=os3_tablet),
[flipped classroom](https://www.knewton.com/infographics/flipped-classroom/), [Click on] (http://analytics-magazine.org/myths-of-analytics-10-myths-of-analytics-and-insights/), and [venn data science](https://www.youtube.com/watch?v=r2I3IDKwyMw)","=>Experience the business analytics workflow, Word of the day: insight, [Workbook-Day-One](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-intro-stat.html), 
Name tents, tem up, lookup ""data science"", pair up, share definitions, summarize in notebo","Form analyst group,
Teams of 3"
8/28/2019,Wed,1,What kinds of data are there?,"OI: 1.2.2, explore  [world bank open data](https://www.youtube.com/watch?v=N4HO8_jDO6U), [Workbook: types of data](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-data.html)","=>Identify and interpret types of data, Word of the day: bias","Task 1: choose business decision and pose questions to support decision, [World Bank open data](https://www.youtube.com/watch?v=N4HO8_jDO6U)"
8/29/2019,Thu,1,How do you use the different kinds of data?,"OI: 1.2.3, [Workbook: types of data](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-descr-infer.html)","=>Associate data types to answer business questions, Word of the day: logic","Task 1: choose data to answer business questions, [NYC open data](https://www.youtube.com/watch?v=xyIRu7uGMlA)"
9/2/2019,Mon,2,(NO CLASS) What is the shape of data?,"OI 1.6.3, SR 2.1 problems SR 2.1,2
[VIDEO:](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-1-countingHousePrices.mp4), 
[Workbook XLSX: ](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-1-countingHousePrices.xlsx)","=>Visualize quantitative data using histograms, Word of the day: science","Task 1: collect data, [NYC datathon](https://www.youtube.com/watch?v=djkJq27cOEE)"
9/4/2019,Wed,2,How do we visualize qualitative data?,"OI 1.6.3, SR 2.1 problems SR 2.1,2
[VIDEO:](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-1-countingHousePrices.mp4), 
[Workbook XLSX: ](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-1-countingHousePrices.xlsx), Graphs in OI 1.7, [VIDEO:](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-2-frequencyHousePrices.mp4), 
[XLSX: ](https://turing.manhattan.edu/~wfoote01/bsnstat/VIDEO/shape-of-data-2-frequencyHousePrices.xlsx),  [Workbook: frequency histograms](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-freq-histogram.html)","=>Build frequency histograms in Excel, Word of the day = associate","Task 2: visualize the data, [Worst place to park](https://www.ted.com/talks/ben_wellington_how_we_found_the_worst_place_to_park_in_new_york_city_using_big_data/footnotes)"
9/5/2019,Thu,2,How do we view relationships?,"Scatterplots in OI 1.6, SR 6.1 (preview),  [Workbook: scatter plots](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-scatter.html)","=>Build scatter plots in Excel, Word of the day = antecedent","Task 2: visualize the data, [Rosling life](https://www.youtube.com/watch?v=jbkSRLYSojo)"
9/9/2019,Mon,3,Where does the data tend to?,"SR 2.2, [Workbook: central tendency](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-central-tendency.html)","=>Aggregate data around location, Word of the day = location","Task 3: summarize the data, [Global warming trends](http://iopscience.iop.org/article/10.1088/1748-9326/aa6825)"
9/11/2019,Wed,3,How much does the data deviate?,"SR 2.3, [Workbook: deviations](https://turing.manhattan.edu/~wfoote01/bsnstat/QUIZ/qq-deviants.html)","=>Aggregate data around scale, Word of the day = scale",Task 3: summarize the data
9/12/2019,Thu,3,What if the data is grouped?,"SR 2.2, 3","=>Aggregate grouped data, Word of the day = bin",Task 3: summarize the data
9/16/2019,Mon,4,How shapely is the data?,SR 2.4,"=>Aggregate data tails, Word of the day = thick",Task 3: summarize the data
