county,poverty
Albany County,12.6
Allegany County,16.5
Bronx County,28.4
Broome County,15.5
Cattaraugus County,16
Cayuga County,12.1
Chautauqua County,17.1
Chemung County,15.2
Chenango County,13.6
Clinton County,13.3
Columbia County,9.5
Cortland County,14.1
Delaware County,13.3
Dutchess County,8.4
Erie County,14
Essex County,12.9
Franklin County,14.4
Fulton County,17.2
Genesee County,11.7
Greene County,13.2
Hamilton County,9.5
Herkimer County,12.8
Jefferson County,14.4
Kings County,22
Lewis County,14.6
Livingston County,11.9
Madison County,9.8
Monroe County,13.7
Montgomery County,14.9
Nassau County,5
New York County,17.8
Niagara County,12.8
Oneida County,14.9
Onondaga County,13.6
Ontario County,8.7
Orange County,11.1
Orleans County,12.1
Oswego County,15.3
Otsego County,14.9
Putnam County,7
Queens County,13
Rensselaer County,11.7
Richmond County,10.3
Rockland County,11.3
St. Lawrence County,16.9
Saratoga County,6.4
Schenectady County,11.1
Schoharie County,11.4
Schuyler County,8.3
Seneca County,13.9
Steuben County,13.5
Suffolk County,5.7
Sullivan County,16.6
Tioga County,9.6
Tompkins County,18.8
Ulster County,11.3
Warren County,10
Washington County,11.5
Wayne County,11.1
Westchester County,8.2
Wyoming County,10.9
Yates County,14.7
